epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.85905,1.03919,2.42172,1.07444,0.9646,0.39676,0.57276,0.46225,0.82977,1.76125,0.92426,0.000299557,0.000299557,0.000299557
2,18.6011,0.9218,1.23539,1.00239,0.8666,0.60391,0.69303,0.54375,0.81987,0.82507,0.92338,0.000596592,0.000596592,0.000596592
3,27.183,0.90364,1.10448,1.00006,0.91801,0.60814,0.71601,0.57368,0.78603,0.76313,0.92332,0.000887627,0.000887627,0.000887627
4,35.7432,0.89673,0.98796,0.99858,0.87283,0.74351,0.8295,0.67993,0.76316,0.62353,0.90929,0.000882003,0.000882003,0.000882003
5,44.1087,0.85691,0.87119,0.98356,0.88609,0.83133,0.86022,0.69851,0.73149,0.59412,0.90891,0.000873004,0.000873004,0.000873004
6,52.6068,0.83098,0.79417,0.98266,0.88811,0.81794,0.8472,0.69372,0.73093,0.5828,0.91659,0.000864004,0.000864004,0.000864004
7,61.2285,0.83944,0.74463,0.98205,0.82649,0.88018,0.91307,0.74213,0.69622,0.53501,0.89526,0.000855005,0.000855005,0.000855005
8,69.7335,0.8142,0.69002,0.96903,0.91623,0.94174,0.96448,0.78716,0.69036,0.49685,0.89573,0.000846006,0.000846006,0.000846006
9,78.561,0.7949,0.66271,0.9575,0.91967,0.92714,0.96334,0.81148,0.66533,0.46464,0.88834,0.000837007,0.000837007,0.000837007
10,87.1547,0.78409,0.61123,0.95766,0.95225,0.86625,0.93891,0.7792,0.67739,0.47037,0.89067,0.000828008,0.000828008,0.000828008
11,96.0174,0.79288,0.60288,0.95935,0.85552,0.92224,0.93007,0.7763,0.65232,0.4684,0.88474,0.000819009,0.000819009,0.000819009
12,104.97,0.77046,0.58037,0.95913,0.96809,0.92048,0.96583,0.80733,0.6741,0.44339,0.89599,0.00081001,0.00081001,0.00081001
13,113.936,0.77642,0.57194,0.95819,0.90053,0.94303,0.9527,0.80195,0.66292,0.4274,0.89398,0.000801011,0.000801011,0.000801011
14,122.527,0.75289,0.54541,0.95528,0.93524,0.94472,0.96871,0.83115,0.65306,0.41732,0.88233,0.000792012,0.000792012,0.000792012
15,131.415,0.76294,0.54384,0.95975,0.94293,0.92534,0.96045,0.80129,0.64232,0.42893,0.88944,0.000783013,0.000783013,0.000783013
16,139.956,0.75546,0.52577,0.95579,0.95258,0.84364,0.92854,0.78813,0.63789,0.41495,0.88321,0.000774013,0.000774013,0.000774013
17,148.404,0.73455,0.50555,0.94385,0.95219,0.9306,0.96692,0.8199,0.65272,0.39102,0.89394,0.000765014,0.000765014,0.000765014
18,156.511,0.74571,0.51559,0.95339,0.94754,0.9426,0.97107,0.82639,0.62559,0.40157,0.87648,0.000756015,0.000756015,0.000756015
19,164.951,0.73127,0.49582,0.9469,0.91405,0.9625,0.97303,0.83072,0.62429,0.38391,0.88432,0.000747016,0.000747016,0.000747016
20,173.552,0.71886,0.48671,0.94033,0.94921,0.9483,0.97203,0.83651,0.6213,0.37888,0.88535,0.000738017,0.000738017,0.000738017
21,181.94,0.7144,0.48677,0.94638,0.92946,0.96173,0.96862,0.84212,0.61409,0.38029,0.88721,0.000729018,0.000729018,0.000729018
22,190.278,0.71699,0.47097,0.94332,0.93325,0.95946,0.96762,0.84413,0.6024,0.37122,0.8741,0.000720019,0.000720019,0.000720019
23,198.89,0.70585,0.46156,0.93494,0.92033,0.92252,0.93596,0.81049,0.61847,0.3861,0.88081,0.00071102,0.00071102,0.00071102
24,207.606,0.70524,0.46626,0.93516,0.93746,0.95663,0.94965,0.81928,0.61397,0.36551,0.87888,0.000702021,0.000702021,0.000702021
25,216.131,0.70201,0.45848,0.93066,0.96304,0.96663,0.97687,0.85524,0.6015,0.35082,0.86488,0.000693022,0.000693022,0.000693022
26,224.466,0.70206,0.46002,0.93824,0.98175,0.95564,0.97609,0.84632,0.60439,0.3579,0.8759,0.000684022,0.000684022,0.000684022
27,232.848,0.67915,0.44988,0.93125,0.97034,0.94528,0.97438,0.84887,0.59209,0.34637,0.86829,0.000675023,0.000675023,0.000675023
28,241.156,0.69233,0.44676,0.93655,0.94281,0.93536,0.96292,0.82754,0.61749,0.35801,0.88854,0.000666024,0.000666024,0.000666024
29,249.215,0.67947,0.43509,0.9211,0.94705,0.95027,0.97437,0.85601,0.60327,0.35627,0.87445,0.000657025,0.000657025,0.000657025
30,257.465,0.68689,0.43757,0.93592,0.97702,0.96853,0.97296,0.83161,0.60834,0.34632,0.87196,0.000648026,0.000648026,0.000648026
31,265.947,0.68174,0.43898,0.92999,0.96802,0.95583,0.97259,0.84321,0.613,0.3455,0.88284,0.000639027,0.000639027,0.000639027
32,274.313,0.67616,0.42864,0.92384,0.96906,0.95444,0.979,0.86594,0.58148,0.33018,0.87052,0.000630028,0.000630028,0.000630028
