,filename,label,x,y,x_bin
12,01frame_12510.txt,2,0.733084,0.895978,36
18,01frame_12546.txt,2,0.732422,0.684028,36
26,01frame_12636.txt,3,0.725000,0.547222,36
27,01frame_12648.txt,3,0.716016,0.539583,36
28,01frame_12654.txt,3,0.717969,0.538194,36
94,01frame_13914.txt,3,0.724609,0.545139,36
95,01frame_13920.txt,3,0.716406,0.531944,36
148,01frame_14664.txt,3,0.714844,0.502083,36
149,01frame_14670.txt,3,0.722656,0.497917,36
152,01frame_14706.txt,4,0.731250,0.410417,36
165,01frame_14838.txt,4,0.714857,0.736076,36
166,01frame_14844.txt,4,0.715351,0.759914,36
167,01frame_14850.txt,4,0.714611,0.784021,36
418,02frame_11760.txt,6,0.71491,0.247292,36
419,02frame_11766.txt,6,0.732396,0.302188,36
493,02frame_13440.txt,4,0.727948,0.243657,36
494,02frame_13536.txt,4,0.717254,0.254759,36
651,02frame_6936.txt,4,0.73322,0.711721,36
652,02frame_6954.txt,4,0.731488,0.714758,36
653,02frame_6960.txt,4,0.729071,0.734726,36
654,02frame_6966.txt,4,0.721138,0.754908,36
655,02frame_6972.txt,4,0.717708,0.787684,36
656,02frame_6978.txt,5,0.719545,0.803394,36
657,02frame_6984.txt,4,0.723014,0.80907,36
658,02frame_6990.txt,5,0.725781,0.831944,36
675,02frame_7206.txt,5,0.725391,0.888889,36
715,02frame_8814.txt,6,0.729083,0.372815,36
746,03frame_1518.txt,2,0.720313,0.752083,36
772,03frame_2820.txt,4,0.713917,0.580759,36
773,03frame_2826.txt,4,0.729801,0.725857,36
791,04frame_11592.txt,6,0.726893,0.411035,36
872,05frame_3168.txt,6,0.732164,0.851383,36
873,05frame_3174.txt,6,0.722393,0.762152,36
888,05frame_6852.txt,6,0.714961,0.784036,36
889,05frame_6858.txt,6,0.719989,0.889364,36
896,05frame_7302.txt,6,0.730336,0.398274,36
930,06frame_10902.txt,4,0.725347,0.924748,36
973,06frame_17148.txt,6,0.731081,0.528289,36
1010,06frame_6366.txt,6,0.719638,0.578814,36
1033,06frame_8256.txt,4,0.723437,0.830556,36
1040,06frame_8382.txt,6,0.718785,0.518919,36
1050,06frame_8796.txt,4,0.721123,0.840079,36
1051,06frame_8802.txt,4,0.727991,0.817619,36
1059,07frame_5544.txt,6,0.716687,0.465749,36
1090,08frame_16638.txt,2,0.715996,0.460284,36
1091,08frame_16644.txt,2,0.727003,0.589624,36
1092,08frame_16650.txt,2,0.732812,0.575694,36
1093,08frame_16656.txt,2,0.730859,0.595139,36
1094,08frame_16662.txt,2,0.730829,0.572549,36
1095,08frame_16668.txt,2,0.731250,0.490972,36
1096,08frame_16674.txt,2,0.721094,0.438194,36
1119,08frame_16860.txt,2,0.721094,0.564583,36
1198,231211_Cam1_C2_Person (6).txt,0,0.731641,0.302083,36
1200,231211_Cam1_C2_Person (7).txt,0,0.724179,0.08203,36
1398,231211_Cam3_C2_Person (32).txt,1,0.732249,0.634494,36
1402,231211_Cam3_C2_Person (34).txt,1,0.727344,0.292361,36
1425,231211_Cam3_C2_Person (47).txt,1,0.71557,0.782956,36
1435,231211_Cam3_C2_Person (56).txt,1,0.728449,0.198642,36
1656,231211_Cam5_C2_Person (1).txt,1,0.717338,0.713682,36
1708,231211_Cam5_C2_Person (55).txt,0,0.720313,0.321528,36
1712,231211_Cam5_C2_Person (59).txt,1,0.729688,0.352083,36
1726,231211_Cam5_C2_Person (71).txt,1,0.717779,0.903984,36
1762,231211_Cam5_C2_Person (96).txt,1,0.723447,0.65036,36
2839,231212_0900_Cam2_C2 (148).txt,3,0.731379,0.190325,36
2842,231212_0900_Cam2_C2 (150).txt,3,0.728089,0.189908,36
