count,date,title,description,org_link,link
1,2024-08-13 14:11:00,"<b>인피니트</b> 엘, 감성 보컬리스트의 성공적 귀환..초동 4만 5천장 돌파","그룹 <b>인피니트</b> 멤버 엘(L, 김명수)이 가수와 배우를 오가는 활발한 활동으로 글로벌 팬심을 사로잡고 있다.... 지난해 5년 만에 완전체로 가요계에 컴백한 <b>인피니트</b> 활동도 놓치지 않았다. 같은 달 데뷔 14주년 기념일에... ",http://www.osen.co.kr/article/G1112396071,https://m.entertain.naver.com/article/109/0005135829
2,2024-08-13 14:09:00,"<b>인피니트</b> 엘, 첫 EP '24/7' 컴백…첫 주부터 뜨겁다",지난해 5년 만에 완전체로 가요계에 컴백한 <b>인피니트</b> 활동도 놓치지 않았다. 같은 달 데뷔 14주년 기념일에 <b>인피니트</b>로 디지털 싱글 '플라워(Flower)'를 발매한 엘은 오랜 시간 곁을 지키며 응원해준 팬들을 향한 진심을... ,https://www.etnews.com/20240813000243,https://m.entertain.naver.com/article/030/0003231372
3,2024-08-13 13:52:00,"<b>인피니트</b> 엘, 첫 EP 앨범 초동 판매량 4만 5천 장↑",지난해 5년 만에 완전체로 가요계에 컴백한 <b>인피니트</b> 활동도 놓치지 않았다. 같은 달 데뷔 14주년 기념일에 <b>인피니트</b>로 디지털 싱글 '플라워(Flower)'를 발매한 엘은 오랜 시간 곁을 지키며 응원해준 팬들을 향한 진심을... ,http://www.tvdaily.co.kr/read.php3?aid=17235235551721756010,http://www.tvdaily.co.kr/read.php3?aid=17235235551721756010
4,2024-08-13 13:32:00,"세븐틴, 8월 보이그룹 브랜드평판 1위…2위 방탄소년단·스트레이키즈·엔하이...","온앤오프, <b>인피니트</b>, 2PM, 워너원, 하이라이트, 동방신기, 빅스, 갓세븐, 크래비티, 비투비, 펜타곤, 블락비, SF9, 위더스, FT아일랜드, B1A4, 원어스, 베리베리, 틴탑, 템페스트, 골든차일드, 2AM , 루이너스, JYJ... ",https://www.yeongnam.com/web/view.php?key=20240813001327015,https://www.yeongnam.com/web/view.php?key=20240813001327015
5,2024-08-13 13:20:00,"[제천유스챌린지] AYBC의 두 번째 이야기, 2024 제천 아시아 유스섬머챌린지 ...","국내에서는 강남삼성, 잠실삼성, 충주 삼성, 원주 YKK, 안산 TOP, 고양 TOP, 팀식스, 팀 부산, 부산더그릿, 부산<b>인피니트</b>스포츠, 세종맥스 등의 유소년 클럽들이 참가했다. 다양한 나라에서 농구를 위해 모인 만큼 주최 측은... ",,https://m.sports.naver.com/basketball/article/065/0000265957
6,2024-08-13 12:00:00,"<b>인피니트</b> 엘(김명수), ‘가수+배우’ 두 마리 토끼 다 잡은 2024년",지난해 5년 만에 완전체로 가요계에 컴백한 <b>인피니트</b> 활동도 놓치지 않았다. 같은 달 데뷔 14주년 기념일에 <b>인피니트</b>로 디지털 싱글 '플라워(Flower)'를 발매한 엘은 오랜 시간 곁을 지키며 응원해준 팬들을 향한 진심을... ,http://www.globalepic.co.kr/view.php?ud=202408131041348788d3244b4fed_29,http://www.globalepic.co.kr/view.php?ud=202408131041348788d3244b4fed_29
7,2024-08-13 11:40:00,"[조성진의 기타신공] 이태윤, 베이스 지존…방송DJ까지 '다재다능'","남자 아이돌그룹은 세븐틴, <b>인피니트</b>를 꼽고 싶어요.&quot; 올해 26살 된 아들은 실용음대에서 드럼을 전공하고 현재 작‧편곡 및 프로듀서로 활동 중이다. 취미는 일렉트릭 바이크(전기 자전거) 타기. 골프, 축구, 야구 등 온갖... ",https://sports.hankooki.com/news/articleView.html?idxno=6871926,https://sports.hankooki.com/news/articleView.html?idxno=6871926
8,2024-08-13 11:16:00,"밸브 미공개작 데드락, 1만6000명 동시 플레이어 유치","게임에는 플레이어가 매달릴 수 있는 게임 '바이오쇼크 <b>인피니트</b>' 스타일의 스카이라인도 있는 것으로 알려졌다. 밸브는 아직 데드락을 공식적으로 발표하지 않았으며, 어떤 종류의 깜짝 발표를... ",https://www.digitaltoday.co.kr/news/articleView.html?idxno=529244,https://www.digitaltoday.co.kr/news/articleView.html?idxno=529244
9,2024-08-13 10:36:00,"엘, 첫 EP 앨범 '24/7' 초동 판매량 4만 5천 장 돌파..韓 대표 '연기돌' 활약...",지난해 5년 만에 완전체로 가요계에 컴백한 <b>인피니트</b> 활동도 놓치지 않았다. 같은 달 데뷔 14주년 기념일에 <b>인피니트</b>로 디지털 싱글 '플라워(Flower)'를 발매한 엘은 오랜 시간 곁을 지키며 응원해준 팬들을 향한 진심을... ,https://www.starnewskorea.com/stview.php?no=2024081310342730787,https://m.entertain.naver.com/article/108/0003257782
10,2024-08-13 09:50:00,<b>인피니트</b> 엘 '24/7' 초동 판매량 4만5천장 돌파,지난해 5년 만에 완전체로 가요계에 컴백한 <b>인피니트</b> 활동도 놓치지 않았다. 같은 달 데뷔 14주년 기념일에 <b>인피니트</b>로 디지털 싱글 '플라워(Flower)'를 발매한 엘은 오랜 시간 곁을 지키며 응원해준 팬들을 향한 진심을... ,https://www.slist.kr/news/articleView.html?idxno=571451,https://www.slist.kr/news/articleView.html?idxno=571451
11,2024-08-13 09:20:00,"12일 리테일차트 1위는 프로미스나인, 앨범판매량TOP5는 에스파·레드벨벳·인...","8위 <b>인피니트</b> 엘의 '45497'(594장), 9위 NCT WISH(시온,유우시,리쿠,사쿠야,료,재희)의 'WISH (SMC)'(509장), 10위 <b>인피니트</b> 엘의 '24/7 (Rising Album)'(450장) 등이 뒤를 이었다. 계속해서 11위 뉴진스의... ",http://www.topstarnews.net/news/articleView.html?idxno=15530836,http://www.topstarnews.net/news/articleView.html?idxno=15530836
12,2024-08-12 22:00:00,[게임브리핑] 승리의 여신:니케 X 에반게리온 콜라보 외,승리의 여신:니케 X 에반게리온 콜라보 레벨 <b>인피니트</b>가 모바일 슈팅 게임 '승리의 여신:니케'와 일본 애니메이션 '에반게리온'의 콜라보레이션을 실시한다. 에반게리온은 1995년에 방영된 '신세기 에반게리온' TV 시리즈... ,https://it.chosun.com/news/articleView.html?idxno=2023092121367,https://it.chosun.com/news/articleView.html?idxno=2023092121367
13,2024-08-12 19:16:00,릴리스 게임즈가 개발한 신작 'AFK: 새로운 여정' iOS 매출 1위 기록... '니케...,"레벨 <b>인피니트</b>는 8일 신규 SSR 등급 캐릭터 '츠바이'와 스토리 이벤트 'COLOLESS'를 업데이트 했다. ‘츠바이’는 주어진 환경에서 언제나 최선을 다하는 미미르 부속 고등학교 2학년 학생으로, 샷건 무기 ‘프레지던트... ",http://gamefocus.co.kr/detail.php?number=158359,http://gamefocus.co.kr/detail.php?number=158359
14,2024-08-12 18:34:00,"[게임스토커] '대형 콜라보 이벤트 기대' 시프트업↑, '조정국면 지속' 넥슨게...",실제로 시프트업의 대표 게임 '승리의 여신: 니케'의 배급사 레벨 <b>인피니트</b>는 금일 일본 유명 애니메이션 시리즈 '에반게리온'과의 콜라보 이벤트가 확정됐다고 발표했다. 해당 소식으로 인해 게임의 매출이... ,https://www.khgames.co.kr/news/articleView.html?idxno=231000,https://www.khgames.co.kr/news/articleView.html?idxno=231000
15,2024-08-12 18:28:00,"[게임뉴스] '승리의 여신: 니케', 에반게리온과 콜라보 외 주요 소식",■ 업데이트 - 레벨 <b>인피니트</b>는 시프트업이 개발하고 자사가 서비스하는 세계 탈환을 위한 미소녀 건슈팅 액션 '승리의 여신: 니케'와 TV 애니메이션 '에반게리온'의 컬래버레이션을 확정했다고 12일 밝혔다. 이번... ,http://www.gamevu.co.kr/news/articleView.html?idxno=34646,http://www.gamevu.co.kr/news/articleView.html?idxno=34646
16,2024-08-12 17:58:00,"[게임소식] 레벨 <b>인피니트</b> '니케', 에반게리온과 컬래버레이션 외",ⓒ레벨 <b>인피니트</b>  레벨 <b>인피니트</b>는 시프트업이 개발하고 자사가 서비스하는 미소녀 건슈팅 액션 '승리의 여신: 니케'와 TV 애니메이션 '에반게리온'의 컬래버레이션을 확정했다고 12일 밝혔다. 에반게리온은 1995년에 방영된... ,https://sports.hankooki.com/news/articleView.html?idxno=6871818,https://sports.hankooki.com/news/articleView.html?idxno=6871818
17,2024-08-12 17:48:00,[8월 12일] 디볼버디지털 '크러쉬 하우스' 출시 등 게임업계 핫클립,#기타 소식 레벨 <b>인피니트</b> - 시프트업이 개발하고 자사가 서비스하는 세계 탈환을 위한 미소녀 건슈팅 액션 '승리의 여신: 니케'와 TV 애니메이션 '에반게리온'의 컬래버레이션을 확정했다. 이번 컬래버레이션으로... ,https://www.gameple.co.kr/news/articleView.html?idxno=210336,https://www.gameple.co.kr/news/articleView.html?idxno=210336
18,2024-08-12 17:12:00,"[게임 브리핑] 웹젠, 애니메이션 MMORPG '용과 전사' BI 공개 外","■ 승리의 여신: 니케, 에반게리온과 컬래버레이션 확정 아스카, 레이, 마리, 미사토 등 신규 캐릭터 추가 계획 레벨 <b>인피니트</b>는 시프트업이 개발하고 자사가 서비스하는 세계 탈환을 위한 미소녀 건슈팅 액션 '승리의... ",http://www.worktoday.co.kr/news/articleView.html?idxno=56343,http://www.worktoday.co.kr/news/articleView.html?idxno=56343
19,2024-08-12 16:52:00,"日 대표 히트작 '에반게리온', '승리의 여신: 니케' 콜라보 캐릭터 추가 확정",12일 레벨 <b>인피니트</b>는 시프트업이 개발한 '니케'와 TV 애니메이션 '에반게리온'의 콜라보를 확정했다.... 국내외 모바일 마켓에서 매출 순위 최상위권을 기록하며 꾸준한 인기를 이어가고 있다. 사진=레벨 <b>인피니트</b> 제공,https://www.xportsnews.com/article/1892774,https://m.sports.naver.com/esports/article/311/0001759546
20,2024-08-12 16:43:00,[nikke] 승리의 여신 니케 X 신세기 에반게리온,레벨 <b>인피니트</b>는 시프트업이 개발하고 자사가 서비스하는 건슈팅 액션 ‘승리의 여신: 니케’와 TV 애니메이션 ‘에반게리온’의 컬래버레이션을 확정했다고 12일 밝혔다. ‘에반게리온’은 1995년에 방영된 ‘신세기... ,http://www.inven.co.kr/webzine/news/?news=298252&site=nikke,https://m.sports.naver.com/esports/article/442/0000174818
21,2024-08-12 16:42:00,"시프트업 ‘승리의 여신: 니케’, 에반게리온과 콜라보레이션 확정",사진=레벨<b>인피니트</b> 제공 레벨 <b>인피니트</b>는 시프트업이 개발하고 자사가 서비스하는 미소녀 건슈팅 액션 ‘승리의 여신: 니케’와 TV 애니메이션 ‘에반게리온’의 콜라보레이션을 확정했다고 12일 밝혔다. 에반게리온은... ,https://www.cnbnews.com/news/article.html?no=675952,https://www.cnbnews.com/news/article.html?no=675952
22,2024-08-12 15:59:00,"시프트업 '승리의 여신: 니케', 에반게리온 캐릭터 나온다",레벨 <b>인피니트</b>는 시프트업이 개발한 미소녀 건슈팅 액션 게임 '승리의 여신: 니케'와 TV 애니메이션 '에반게리온'의 컬래버레이션을 확정했다고 12일 밝혔다. 에반게리온은 1995년에 방영된 '신세기 에반게리온' TV... ,https://www.newsis.com/view/NISX20240812_0002847122,https://n.news.naver.com/mnews/article/003/0012724445?sid=105
23,2024-08-12 15:50:00,니케 츠바이 &quot;굳이 뽑느니 에바 컬래버 대비하자&quot;,"레벨 <b>인피니트</b>가 '승리의 여신: 니케'에 엘리시온 소속 신규 캐릭터 '츠바이'를 출시했다. 샷건을 사용하는 전격 코드 캐릭터이며, 1버스트 지원형이다. 츠바이의 스킬을 살펴보면 1스킬 '관통 계산식'은 풀 버스트 타임... ",https://www.gametoc.co.kr/news/articleView.html?idxno=83493,https://www.gametoc.co.kr/news/articleView.html?idxno=83493
24,2024-08-12 15:28:00,"[주간 모바일 차트] '에바'에 탑승한 '승리의 여신: 니케', 구글 매출 TOP10 ...",실제로 배급사 레벨 <b>인피니트</b>는 금일 '승리의 여신: 니케'와 TV 애니메이션 '에반게리온'의 콜라보 이벤트를 확정했다고 밝혔다. 아울러 게임의 다음 업데이트에서 ▲아스카 ▲레이 ▲마리 ▲미사토 등 '에반게리온'의... ,https://www.khgames.co.kr/news/articleView.html?idxno=230986,https://www.khgames.co.kr/news/articleView.html?idxno=230986
25,2024-08-12 15:26:00,"<b>인피니트</b> 엘, 마닐라 팬미팅 성료 “큰 함성으로 맞아준 팬들 감사”","이어 엘은 ‘24/7’ 타이틀곡 ‘어떻게 널 사랑하지 않겠니’를 비롯해 ‘닥치고 꽃미남 밴드’ OST로 큰 사랑을 받은 ‘러브 유 라이크 유(Love U Like U), <b>인피니트</b> 첫 정규 앨범 수록곡 ‘리얼 스토리(Real Story)... ",https://sports.khan.co.kr/news/sk_index.html?art_id=202408121525003&sec_id=540101&pt=nv,https://m.entertain.naver.com/article/144/0000981559
26,2024-08-12 15:20:00,"시프트업 '승리의 여신: 니케', 명작 애니 '에반게리온' 만난다",레벨 <b>인피니트</b>는 시프트업이 개발하고 자사가 서비스하는 미소녀 건슈팅 액션 '승리의 여신: 니케'와 TV 애니메이션 '에반게리온'이 컬래버레이션을 진행한다고 12일 밝혔다. '에반게리온'은 1995년 방영된 &lt;신세기... ,http://www.ftoday.co.kr/news/articleView.html?idxno=326937,http://www.ftoday.co.kr/news/articleView.html?idxno=326937
27,2024-08-12 15:18:00,레벨<b>인피니트</b> '니케'서 '에반게리온' 컬래버,"레벨<b>인피니트</b>는 12일 '승리의 여신: 니케'에서 애니메이션 '에반게리온'과 컬래버를 진행한다고 밝혔다. 이를 통해 다음 작품 업데이트에서 아스카, 레이, 마리, 미사토 등 '에반게리온' 캐릭터가 등장한다. 또한 이 작품과... ",https://www.tgdaily.co.kr/news/articleView.html?idxno=334470,https://www.tgdaily.co.kr/news/articleView.html?idxno=334470
28,2024-08-12 14:28:00,"승리의 여신: 니케, 에반게리온 컬래버레이션 예고","▲ 승리의 여신: 니케, 에반게리온 컬래버레이션 예고 대표 이미지 (사진제공: 레벨 <b>인피니트</b>) 인기 애니메이션 에반게리온의 캐릭터들이 승리의 여신: 니케 세계관에 찾아온다. 레벨 <b>인피니트</b>는 12일, 승리의 여신: 니케와... ",https://www.gamemeca.com/mv.php?inflow=naver_s&gid=1752030,https://m.sports.naver.com/esports/article/356/0000068573
