연도,합계,탁주,약주,청주,과실주,증류식소주,일반증류주,리큐르,기타주류
2000,577,0,18,0,201,131,13,213,1
2001,959,0,48,0,584,55,13,257,2
2002,2570,0,34,0,1963,119,36,414,4
2003,4655,0,110,0,3902,132,14,361,136
2004,5831,0,72,0,5191,29,17,277,245
2005,9120,0,723,0,7135,346,76,335,505
2006,7200,101,179,0,6440,148,23,177,132
2007,10344,246,199,0,9290,131,12,192,274
2008,8112,81,192,1,7171,141,13,306,207
2009,5459,336,317,1,4285,165,38,230,87
2010,7168,2552,459,1,3588,261,53,203,51
2011,7406,3246,595,0,3112,191,54,170,38
2012,8862,4861,679,0,2887,192,57,141,45
2013,10930,6613,730,0,3009,207,72,172,127
2014,11182,7053,697,0,2554,193,130,190,365
2015,8606,3872,641,3,3209,138,137,229,377
2016,7181,3576,601,4,1974,214,215,310,287
2017,5956,2861,509,4,1645,243,293,267,134
2018,6906,3461,682,45,1760,204,326,263,165
2019,9160,4256,1424,100,1621,310,714,276,459
2020,10775,5576,902,386,1673,368,1000,387,483
