지점,일시,평균 수온(°C)
22101,2015-10-01,22.4
22101,2015-10-07,21.8
22101,2015-10-08,21.8
22101,2015-10-09,21.5
22101,2015-10-10,21.3
22101,2015-10-11,21
22101,2015-10-12,20.7
22101,2015-10-13,20.5
22101,2015-10-14,20.4
22101,2015-10-15,20.4
22101,2015-10-16,20.4
22101,2015-10-17,20.4
22101,2015-10-18,20.4
22101,2015-10-19,20.4
22101,2015-10-20,20.4
22101,2015-10-21,20.4
22101,2015-10-22,20.3
22101,2015-10-23,20.3
22101,2015-10-24,20.3
22101,2015-10-25,20.1
22101,2015-10-26,20
22101,2015-10-27,19.8
22101,2015-10-28,19.4
22101,2015-10-29,19.2
22101,2015-10-30,18.8
22101,2015-10-31,18.4
22101,2015-11-01,18.2
22101,2015-11-02,18.2
22101,2015-11-03,18.1
22101,2015-11-04,18.1
22101,2015-11-05,18.1
22101,2015-11-06,18
22101,2015-11-07,17.8
22101,2015-11-08,17.6
22101,2015-11-09,17.6
22101,2015-11-10,17.4
22101,2015-11-11,17.4
22101,2015-11-12,17.3
22101,2015-11-13,17.2
22101,2015-11-14,17
22101,2015-11-15,17
22101,2015-11-16,16.9
22101,2015-11-17,16.9
22101,2015-11-18,16.7
22101,2015-11-20,16.5
22101,2015-11-21,16.4
22101,2015-11-22,16.2
22101,2015-11-23,16.1
22101,2015-11-24,15.9
22101,2015-11-25,15.6
22101,2015-11-26,15.1
22101,2015-11-27,14.4
22101,2015-11-28,14
22101,2015-11-29,13.9
22101,2015-11-30,13.7
22101,2015-12-01,13.7
22101,2015-12-02,13.6
22101,2015-12-03,13.3
22101,2015-12-04,12.8
22101,2015-12-05,12.3
22101,2015-12-06,11.9
22101,2015-12-07,11.7
22101,2015-12-08,11.7
22101,2015-12-09,11.7
22101,2015-12-10,11.6
22101,2015-12-11,11.5
22101,2015-12-12,11.4
22101,2015-12-13,11.3
22101,2015-12-14,11.3
22101,2015-12-15,11.2
22101,2015-12-16,11
22101,2015-12-17,10.6
22101,2015-12-18,10.3
22101,2015-12-19,10.2
22101,2015-12-20,10.1
22101,2015-12-21,10
22101,2015-12-22,10
22101,2015-12-23,10
22101,2015-12-24,9.8
22101,2015-12-25,9.6
22101,2015-12-26,9.5
22101,2015-12-27,9.2
22101,2015-12-28,8.8
22101,2015-12-29,8.7
22101,2015-12-30,8.6
22101,2015-12-31,8.6
22101,2016-01-01,8.5
22101,2016-01-02,8.5
22101,2016-01-03,8.6
22101,2016-01-04,8.5
22101,2016-01-05,8.4
22101,2016-01-06,8.2
22101,2016-01-07,8.1
22101,2016-01-08,8
22101,2016-01-09,7.9
22101,2016-01-10,7.8
22101,2016-01-11,7.6
22101,2016-01-12,7.4
22101,2016-01-13,7.2
22101,2016-01-14,7
22101,2016-01-15,7
22101,2016-01-16,6.9
22101,2016-01-17,6.9
22101,2016-01-18,6.7
22101,2016-01-19,6.4
22101,2016-01-20,6
22101,2016-01-21,5.7
22101,2016-01-22,5.4
22101,2016-01-23,5
22101,2016-01-24,4.4
22101,2016-01-25,4
22101,2016-01-26,3.7
22101,2016-01-27,3.7
22101,2016-01-28,3.8
22101,2016-01-29,3.8
22101,2016-01-30,3.8
22101,2016-01-31,3.8
22101,2016-02-01,3.7
22101,2016-02-02,3.6
22101,2016-02-03,3.6
22101,2016-02-04,3.6
22101,2016-02-05,3.6
