瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,泪磊府,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,坏操扁,概固,概固,概固,概固,概固,概固,概固,概固,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,扁矾扁,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,酒鳖矫唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,倔澜,倔澜,倔澜,倔澜,传,传,传,传,包汲,包汲,包汲,包汲,碍窍玫,碍窍玫,碍窍玫,碍窍玫,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,秦荐垮厘,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤,焙遏窜瘤
,,檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),檬斑,檬斑(乞厚),辆斑,辆斑(乞厚),檬己,檬己(乞厚),辆己,辆己(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚),窜浅场,窜浅场(乞厚),倡糠矫累,倡糠矫累(乞厚),倡糠场,倡糠场(乞厚),窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚),窜浅场,窜浅场(乞厚),倡糠矫累,倡糠矫累(乞厚),倡糠场,倡糠场(乞厚),矫累,矫累(乞厚),场,场(乞厚),矫累,矫累(乞厚),场,场(乞厚),矫累,矫累(乞厚),场,场(乞厚),矫累,矫累(乞厚),场,场(乞厚),矫累,矫累(乞厚),场,场(乞厚),矫累,矫累(乞厚),场,场(乞厚),例沥,例沥(乞厚),矫累,矫累(乞厚),场,场(乞厚),例沥,例沥(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚)
碍釜,2005,2005-04-12, ,2005-10-20, , , , , ,搬螟,—, , , , , , ,2005-04-03, , , , , , , ,2005-03-17, , , , , , , ,2005-05-24, , , , , , , , , , , ,2005-04-26, , , , , , , ,2005-05-02, , , , , , , ,2005-06-28, ,2005-09-25, ,2005-11-28, , , , , , , ,2005-04-27, ,2005-09-02, , , ,2005-02-25, ,2005-03-22, , , ,2005-03-16, ,2005-03-27, , , ,2005-03-19, ,2005-04-09, , , ,2005-03-17, ,2005-04-07, , , ,2005-04-20, ,2005-05-08, , , ,2005-03-18, ,2005-04-10, , , ,2005-03-18, ,2005-04-16, , , ,2005-11-01, ,2005-11-11, , , , , , , ,2005-10-21, ,2005-11-02, , , , , , , ,2005-11-30, ,2006-03-19, ,2005-11-17, ,2006-03-29, ,2005-12-04, ,2006-03-30, ,2005-10-22, ,2006-04-25, ,2005-12-12, ,2006-03-07, , , , , , , , , , , , , , , , , 
碍釜,2006,搬螟,—,搬螟,—, , , , ,搬螟,—, , , , , , ,2006-05-04, , , , , , , ,2006-03-05, , , , , , , ,2006-06-26, , , , , , , , , , , ,搬螟,—, , , , , , ,2006-05-17, , , ,2006-07-25, , , ,2006-07-25, ,2006-09-15, ,2006-10-21, , , , , , , ,2006-05-03, ,2006-09-03, , , ,2006-03-03, ,2006-03-20, , , ,2006-03-06, ,2006-03-12, , , ,2006-03-07, ,2006-03-25, , , ,2006-03-20, ,2006-04-03, , , ,2006-05-11, ,2006-05-17, , , ,2006-03-26, ,2006-04-07, , , ,2006-03-26, ,2006-04-10, , , ,2006-11-06, ,2006-11-19, , , , , , , ,2006-10-30, ,2006-11-10, , , , , , , ,2006-12-01, ,2007-03-29, ,2006-11-07, ,2007-04-04, ,2006-12-17, ,2007-04-03, ,2006-11-06, ,2007-04-23, ,2006-12-27, ,2007-03-09, , , , , , , , , , , , , , , , , 
碍釜,2007,2007-04-30, ,搬螟,—, , , , ,搬螟,—, , , , , , ,2007-05-02, , , , , , , ,2007-04-07, , , , , , , ,2007-06-27, , , , , , , , , , , ,2007-04-07, , , , , , , ,2007-05-29, , , ,2007-07-07, , , ,2007-07-07, ,2007-09-30, ,搬螟,—, , , , , , ,2007-04-23, ,2007-09-08, , , ,2007-02-22, ,2007-03-08, , , ,2007-02-25, ,2007-03-22, , , ,2007-02-27, ,2007-03-22, , , ,2007-03-09, ,2007-03-29, , , ,2007-04-29, ,2007-05-07, , , ,2007-03-13, ,2007-03-30, , , ,2007-03-14, ,2007-04-09, , , ,2007-11-05, ,2007-11-13, , , , , , , ,2007-10-15, ,2007-11-07, , , , , , , ,2007-12-27, ,2008-03-22, ,2007-11-18, ,2008-03-22, ,2007-11-21, ,2008-03-04, ,2007-11-20, ,2008-03-18, ,2008-01-01, ,2008-03-21, , , , , , , , , , , , , , , , , 
碍釜,2008,2008-04-23, , , , , , , ,包螟 救凳,—, , , , , , ,2008-05-03, , , ,2008-05-03, , , ,2008-04-14, , , , , , , ,2008-07-01, , , , , , , , , , , ,2008-04-09, , , ,2008-05-20, , , ,2008-05-20, , , , , , , ,2008-07-10, , , ,包螟 救凳,—, , , , , , , , , , , , ,2008-02-27, ,2008-03-18, , , ,2008-02-27, ,2008-03-22, , , ,2008-02-28, ,2008-04-05, , , ,2008-03-19, ,2008-04-03, , , ,2008-04-18, ,2008-05-12, , , ,2008-02-28, ,2008-04-05, , , ,2008-03-01, ,2008-04-09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
碍釜,2009, , , , , , , , , , ,包螟 救凳,—, , , , , , , , ,2009-04-11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,包螟 救凳,—, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
碍釜,2011, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2011-04-12, , , 
碍釜,2012, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2012-04-13, , , 
碍釜,2013, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2013-04-09, , , 
措包飞,2005, , , , , , , , , , , , , , , , , , , , , , , , ,2005-04-18,-34老, , , , , , ,2005-06-30,-16老, , , , , , , , , , , , , , , , , , ,2005-05-17,-1老, , , , , , ,2005-07-04,-24老, , , , , , , , , , , , , , , , , , , , , , ,2005-04-14,-5老,2005-04-25,-2老, , ,2005-04-18,-4老,2005-04-25,-5老, , ,2005-04-21,-4老,2005-04-29,-6老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2005-10-05,-3老,2006-05-03,0老,2005-10-22,9老,2006-05-03,-2老,2005-10-21,-15老,2006-04-20,3老,2005-10-22,-20老, , , , , , ,2005-10-03,2老, , ,2005-10-24,9老, , , , , , , , , , 
