瘤痢,斥档,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,内胶葛胶,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,篮青唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,窜浅唱公,辑府,辑府,辑府,辑府,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅,蜡疙魂 窜浅
,,惯酒,惯酒(乞厚),俺拳,俺拳(乞厚),父惯,父惯(乞厚),窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚),窜浅场,窜浅场(乞厚),倡糠矫累,倡糠矫累(乞厚),倡糠场,倡糠场(乞厚),窜浅矫累,窜浅矫累(乞厚),窜浅例沥,窜浅例沥(乞厚),窜浅场,窜浅场(乞厚),倡糠矫累,倡糠矫累(乞厚),倡糠场,倡糠场(乞厚),矫累,矫累(乞厚),场,场(乞厚),矫累,矫累(乞厚),场,场(乞厚),例沥,例沥(乞厚)
碍釜,2004,2004-05-02, ,2004-09-10, , , ,2004-10-31, ,2004-11-10, , , , , , , ,2004-10-04, ,2004-11-08, , , , , , , ,2004-11-30, ,2005-04-04, , , , , , , 
碍釜,2005,2005-04-27, ,2005-09-02, , , ,2005-11-01, ,2005-11-11, , , , , , , ,2005-10-21, ,2005-11-02, , , , , , , ,2005-11-30, ,2006-03-19, , , , , , , 
碍釜,2006,2006-05-03, ,2006-09-03, , , ,2006-11-06, ,2006-11-19, , , , , , , ,2006-10-30, ,2006-11-10, , , , , , , ,2006-12-01, ,2007-03-29, , , , , , , 
碍釜,2007,2007-04-23, ,2007-09-08, , , ,2007-11-05, ,2007-11-13, , , , , , , ,2007-10-15, ,2007-11-07, , , , , , , ,2007-12-27, ,2008-03-22, , , , , , , 
措包飞,2004, , , , , , , , , , , , , , , , , , , , , , , , , , ,2004-10-03,-5老,2005-05-10,7老,2004-10-01,0老, , ,2004-10-18,3老
措包飞,2005, , , , , , , , , , , , , , , , , , , , , , , , , , ,2005-10-05,-3老,2006-05-03,0老,2005-10-03,2老, , ,2005-10-24,9老
措包飞,2006, , , , , , , , , , , , , , , , , , , , , , , , , , ,2006-10-30,22老,2007-04-27,-6老,2006-09-25,-6老, , ,2006-10-17,2老
措包飞,2007, , , , , , , , , , , , , , , , , , , , , , , , , , ,2007-10-25,17老,2008-04-28,-5老,2007-10-05,4老, , ,2007-10-30,15老
措包飞,2008, , , , , , , , , , , , , , , , , , , , , , , , , , ,2008-09-27,-11老,2009-04-29,-4老,2008-10-06,5老, , ,2008-10-31,16老
措包飞,2009, , , , , , ,包螟 救凳,—, , , , , , , , ,包螟 救凳,—, , , , , , , , ,2009-10-05,-3老,2010-06-02,30老,2009-10-01,0老, , ,2009-10-15,0老
措包飞,2010, , , , , , , , , , , , , , , , , , , , , , , , , , ,2010-09-29,-9老,2011-04-17,-16老,2010-10-07,6老, , ,2010-10-20,5老
措包飞,2011, , , , , , ,2011-10-07, ,2011-10-12, , , , , , , ,2011-10-07, ,2011-10-12, , , , , , , ,2011-09-27,-11老,2012-04-27,-6老,2011-10-05,4老, , ,2011-10-13,-2老
措包飞,2012, , , , , , ,2012-09-29, ,2012-10-09, , , , , , , ,2012-09-29, ,2012-10-09, , , , , , , ,2012-09-30,-8老,2013-04-28,-5老,2012-09-27,-4老, , ,2012-10-15,0老
措包飞,2013,包螟 救凳,—, , , , ,2013-10-04, ,2013-10-14, , , , , , , ,2013-10-04, ,2013-10-14, , , , , , , ,2013-10-04,-4老,2014-04-14,-19老,2013-10-02,1老, , ,2013-10-14,-1老
措包飞,2014, , , , , , ,2014-10-02, ,2014-10-19, , , , , , , ,2014-10-02, ,2014-10-19, , , , , , , ,2014-10-08,0老, , ,2014-10-01,0老, , ,2014-10-19,4老
措包飞,2015, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2015-09-30,-1老, , ,2015-10-12,-3老
措包飞,2016, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2016-09-29,-2老, , ,2016-10-17,2老
措包飞,2017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2017-09-25,-6老, , ,2017-10-12,-3老
措包飞,2018, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2018-10-01,0老, , ,2018-10-08,-7老
措包飞,2019, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2019-10-01,0老, , ,2019-10-10,-5老
措包飞,2020, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2020-10-06,5老, , ,2020-10-14,-1老
措包飞,2021, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2021-10-05,4老, , ,2021-10-19,4老
措包飞,2022, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2022-10-05,4老, , ,2022-10-17,2老
措包飞,2023, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2023-10-06,5老, , ,2023-10-20,5老
悼秦,2004,2004-04-20,-9老,2004-09-05,6老, , ,2004-10-20,-5老,2004-11-05,1老, , , , , , ,2004-10-30,5老,2004-11-10,6老, , , , , , ,2004-11-30,7老,2005-03-10,-11老, , , , , , 
