지점,일시,평균 수온(°C)
22105,2015-10-01,22
22105,2015-10-02,22.2
22105,2015-10-03,21.7
22105,2015-10-04,20.9
22105,2015-10-05,21.1
22105,2015-10-06,21.9
22105,2015-10-07,22
22105,2015-10-08,21.6
22105,2015-10-09,21.5
22105,2015-10-10,21.1
22105,2015-10-11,21
22105,2015-10-12,21.8
22105,2015-10-13,20.7
22105,2015-10-14,21.1
22105,2015-10-15,21.9
22105,2015-10-16,21.9
22105,2015-10-17,21.7
22105,2015-10-18,21.5
22105,2015-10-19,21.5
22105,2015-10-20,21.6
22105,2015-10-21,21.5
22105,2015-10-22,21.1
22105,2015-10-23,21.1
22105,2015-10-24,21.2
22105,2015-10-25,20.8
22105,2015-10-26,20.7
22105,2015-10-27,20.4
22105,2015-10-28,20
22105,2015-10-29,20.1
22105,2015-10-30,19.3
22105,2015-10-31,19.9
22105,2015-11-01,20
22105,2015-11-02,20
22105,2015-11-03,19.7
22105,2015-11-04,19.7
22105,2015-11-05,19.4
22105,2015-11-06,18.7
22105,2015-11-07,18.9
22105,2015-11-08,18.6
22105,2015-11-09,18.3
22105,2015-11-11,18.3
22105,2015-11-12,18.3
22105,2015-11-13,18.4
22105,2015-11-14,18.3
22105,2015-11-15,18.4
22105,2015-11-16,18.1
22105,2015-11-17,18.4
22105,2015-11-18,18.2
22105,2015-11-19,18.6
22105,2015-11-20,19.3
22105,2015-11-21,19.3
22105,2015-11-22,18.3
22105,2015-11-23,17.3
22105,2015-11-24,17.5
22105,2015-11-25,17.7
22105,2015-11-26,17.7
22105,2015-11-27,17.8
22105,2015-11-28,17.3
22105,2015-11-29,17
22105,2015-11-30,16.6
22105,2015-12-01,16.2
22105,2015-12-02,16.9
22105,2015-12-03,16.2
22105,2015-12-04,15.8
22105,2015-12-05,15.5
22105,2015-12-06,15.4
22105,2015-12-07,15
22105,2015-12-08,15.2
22105,2015-12-09,15.6
22105,2015-12-10,14.9
22105,2015-12-11,14.9
22105,2015-12-12,15.2
22105,2015-12-13,14.5
22105,2015-12-14,14.6
22105,2015-12-15,15
22105,2015-12-16,15.3
22105,2015-12-17,15.3
22105,2015-12-18,14.3
22105,2015-12-19,14.2
22105,2015-12-20,14.3
22105,2015-12-21,14.3
22105,2015-12-22,14.2
22105,2015-12-23,14.3
22105,2015-12-24,14.5
22105,2015-12-25,14
22105,2015-12-26,13.9
22105,2015-12-27,14.3
22105,2015-12-28,13.8
22105,2015-12-29,13.4
22105,2015-12-30,14
22105,2015-12-31,14
22105,2016-01-01,14.4
22105,2016-01-02,15.6
22105,2016-01-03,15.3
22105,2016-01-04,15.3
22105,2016-01-05,15.1
22105,2016-01-06,15.8
22105,2016-01-07,15.4
22105,2016-01-08,15
22105,2016-01-09,15.3
22105,2016-01-10,15.4
22105,2016-01-11,15.4
22105,2016-01-12,15.9
22105,2016-01-13,15.7
22105,2016-01-14,15.5
22105,2016-01-15,15.4
22105,2016-01-16,15
22105,2016-01-17,14.8
22105,2016-01-18,14.6
22105,2016-01-19,14.1
22105,2016-01-20,14.8
22105,2016-01-21,14.7
22105,2016-01-22,13.8
22105,2016-01-23,13.5
22105,2016-01-24,13
22105,2016-01-25,12.7
22105,2016-01-26,12.3
22105,2016-01-27,12.3
22105,2016-01-28,12.5
22105,2016-01-29,11.7
22105,2016-01-30,11.7
22105,2016-01-31,11.5
22105,2016-02-01,8.9
22105,2016-02-02,8.9
22105,2016-02-03,10.8
22105,2016-02-04,10.6
22105,2016-02-05,11
22105,2016-02-06,10.9
22105,2016-02-07,11.1
22105,2016-02-08,10.3
22105,2016-02-09,7.4
22105,2016-02-10,8.1
22105,2016-02-11,10.7
22105,2016-02-12,11
22105,2016-02-13,11.5
22105,2016-02-14,11.4
22105,2016-02-15,10.7
22105,2016-02-16,10.6
22105,2016-02-17,10.5
22105,2016-02-18,10.6
22105,2016-02-19,10.5
22105,2016-02-20,10.9
22105,2016-02-21,10.4
22105,2016-02-22,10.9
22105,2016-02-23,10.4
22105,2016-02-24,10.7
22105,2016-02-26,10.6
22105,2016-02-27,10.7
22105,2016-02-28,10.7
22105,2016-02-29,10.4
22105,2016-03-01,10.2
22105,2016-03-02,10.1
22105,2016-03-03,10.3
22105,2016-03-04,10.6
22105,2016-03-05,11.5
22105,2016-03-06,11.2
22105,2016-03-07,11.2
22105,2016-03-08,11
22105,2016-03-09,10.6
22105,2016-03-10,11.1
22105,2016-03-11,11.9
22105,2016-03-12,11.4
22105,2016-03-13,11.4
22105,2016-03-14,10.8
22105,2016-03-15,10.7
22105,2016-03-16,11.2
22105,2016-03-17,11.4
22105,2016-03-18,11.6
22105,2016-03-19,11.6
22105,2016-03-20,11.8
22105,2016-03-21,11.6
22105,2016-03-22,13
22105,2016-03-23,12.9
22105,2016-03-24,12.7
22105,2016-03-25,12.7
22105,2016-03-26,12.9
22105,2016-03-27,12.7
22105,2016-03-28,12.9
22105,2016-03-29,13.3
22105,2016-03-30,13.8
22105,2016-03-31,13.6
22105,2016-04-01,14.4
22105,2016-04-02,13.3
22105,2016-04-03,13.2
22105,2016-04-04,12.9
22105,2016-04-05,13.1
22105,2016-04-06,13.3
22105,2016-04-07,13.8
22105,2016-04-08,14.9
22105,2016-04-09,14.2
22105,2016-04-10,14
22105,2016-04-11,14.7
22105,2016-04-12,14.6
22105,2016-04-13,14.1
22105,2016-04-14,13.7
22105,2016-04-15,13
22105,2016-04-16,12.7
22105,2016-04-17,12.7
22105,2016-04-18,13
22105,2016-04-19,13
22105,2016-04-20,13.2
22105,2016-04-21,11.8
22105,2016-04-22,11.6
22105,2016-04-23,11.7
22105,2016-04-24,11.8
22105,2016-04-25,12.7
22105,2016-04-26,13.1
22105,2016-04-27,11.8
22105,2016-04-28,11.6
22105,2016-04-29,11.5
22105,2016-04-30,12.1
22105,2016-05-01,12.8
22105,2016-05-02,13.1
22105,2016-05-03,12.5
22105,2016-05-04,12.4
22105,2016-05-05,13.1
22105,2016-05-06,12.9
22105,2016-05-07,13.6
22105,2016-05-08,14.4
22105,2016-05-09,14.3
22105,2016-05-10,14
22105,2016-05-11,13.4
22105,2016-05-12,13.5
22105,2016-05-13,13.6
22105,2016-05-14,14.3
22105,2016-05-15,14
22105,2016-05-16,13.7
22105,2016-05-17,14.8
22105,2016-05-18,15.2
22105,2016-05-19,16.4
22105,2016-05-20,17.9
22105,2016-05-21,18.4
22105,2016-05-22,18
22105,2016-05-23,18.2
22105,2016-05-24,17.8
22105,2016-05-25,18.1
22105,2016-05-26,19
22105,2016-05-27,18.6
22105,2016-05-28,19.3
22105,2016-05-29,19.5
22105,2016-05-30,19.7
22105,2016-05-31,19.8
22105,2016-06-01,20
22105,2016-06-02,20.7
22105,2016-06-03,20.1
22105,2016-06-04,20.2
22105,2016-06-05,19.4
22105,2016-06-06,19.4
22105,2016-06-07,20.5
22105,2016-06-08,20.9
22105,2016-06-09,20.8
22105,2016-06-10,20.6
22105,2016-06-11,20.3
22105,2016-06-12,20.3
22105,2016-06-13,19.9
22105,2016-06-14,20.8
22105,2016-06-15,20.6
22105,2016-06-16,20.7
22105,2016-06-17,21
22105,2016-06-18,21.2
22105,2016-06-19,18.7
22105,2016-06-20,20.1
22105,2016-06-21,20.3
22105,2016-06-22,20.9
22105,2016-06-23,20.9
22105,2016-06-24,20.3
22105,2016-06-25,20.6
22105,2016-06-26,21.6
22105,2016-06-27,22.4
22105,2016-06-28,20.9
22105,2016-06-29,20.9
22105,2016-06-30,21.3
22105,2016-07-01,21.1
22105,2016-07-02,20
22105,2016-07-03,19.7
22105,2016-07-04,20
22105,2016-07-05,20.2
22105,2016-07-06,19.6
22105,2016-07-07,19.9
22105,2016-07-08,20.4
22105,2016-07-09,21.3
22105,2016-07-10,21.8
22105,2016-07-11,22.5
22105,2016-07-12,22.9
22105,2016-07-13,22.8
22105,2016-07-14,22.2
22105,2016-07-15,21.5
22105,2016-07-16,21.7
22105,2016-07-17,22.6
