,Whisky,Age,Alc%,Volume,Votes,Avg. Rating,User Rating,user,price,Price
95,Booker's 06 + 1 month 127.7 Proof,6,63.85,700 ml,30,86.64,90,wsp,0,$10.99
278,Jack Daniel's Master Distiller Series No. 2 – “Jess” Motlow (1911 - 1944),-,43.0,700 ml,20,77.83,80,wsp,0,$10.99
341,Jim Beam 15-year-old Lineage,15,55.5,700 ml,9,90.57,90,mapl,0,$10.99
398,Maker's 46 Red Wax,-,47.0,700 ml,106,81.38,89,mapl,0,$10.99
441,Wild Turkey Kentucky Spirit Single Barrel,-,50.5,750 ml,6,87,88,mapl,0,$10.99
446,Jack Daniel's Single Barrel Barrel Strength,-,64.5,700 ml,12,86.33,88,mapl,0,$10.99
452,Maker's Mark Cask Strength,-,55.75,700 ml,55,85.42,88,mapl,0,$10.99
472,Booker's 06 + 3 months 127.4 Proof,6,63.7,700 ml,4,88.75,88,mapl,0,$10.99
545,Jack Daniel's Sinatra Select,-,45.0,1000 ml,107,80.32,87,mapl,0,$10.99
604,Glenrothes Whisky Maker's Cut The Soleo Collection,-,48.8,700 ml,231,84.71,86,mapl,0,$10.99
640,Wild Turkey Longbranch,-,43.0,700 ml,12,80.6,85,mapl,0,$39.99
649,Wild Turkey 101 Proof,-,50.5,700 ml,223,80.94,85,mapl,0,$10.99
650,Wild Turkey Forgiven Blend of Bourbon & Rye Straight Whiskies,-,45.5,750 ml,20,86.89,85,mapl,0,$10.99
652,Wild Turkey Rare Breed Barrel Proof,-,56.4,750 ml,183,83.81,85,mapl,0,$62.99
2385,Wild Turkey Rare Breed Barrel Proof,-,56.4,750 ml,183,83.81,87,stf92,0,$62.99
2916,Macallan Whisky Maker's Edition The 1824 Collection,-,42.8,700 ml,290,85.74,88,whitepele,0,$10.99
3153,Wild Turkey 13-year-old Distiller's Reserve,13,45.5,700 ml,41,82.47,81,jel,0,$10.99
3580,Wild Turkey Rare Breed Barrel Proof,-,58.4,700 ml,28,84.27,85,babotheker,0,$62.99
4289,Wild Turkey Kentucky Spirit Single Barrel,-,50.5,1000 ml,3,76.67,83,vmarcinv,0,$10.99
4765,Booker's 07 + 3 months 126.5 Proof,7,63.25,700 ml,6,86.75,89,psyk0man,0,$10.99
6222,Jack Daniel's Single Barrel - Rye,-,45.0,700 ml,11,83.38,85,psyk0man,0,$10.99
6473,Wild Turkey Rare Breed Barrel Proof 116.8,-,58.4,700 ml,27,84.46,84,psyk0man,0,$10.99
6856,Wild Turkey 101 Proof,-,50.5,700 ml,80,80.49,81,psyk0man,0,$10.99
6983,Jack Daniel's Sinatra Select,-,45.0,1000 ml,107,80.32,80,psyk0man,0,$10.99
7036,Jim Beam 06-year-old Pin Bottle,6,43.0,700 ml,1,80,80,psyk0man,0,$10.99
7107,Jack Daniel's Single Barrel Select,-,45.0,700 ml,38,75.83,79,psyk0man,0,$10.99
7299,Jack Daniel's Gentleman Jack,-,40.0,700 ml,341,72.37,73,psyk0man,0,$10.99
7323,Jim Beam Rye Kentucky Straight Rye Whiskey,-,40.0,700 ml,31,69.83,70,psyk0man,0,$10.99
7346,Jack Daniel's Old No. 7,-,40.0,700 ml,784,65.69,60,psyk0man,0,$10.99
7645,Jameson The Blender's Dog The Whiskey Makers Series,-,43.0,700 ml,63,79.56,81,nikolajsainboxlv,0,$10.99
7770,Jack Daniel's Master Distiller Series No. 1 - Jack Daniel's (1866 - 1911),-,43.0,700 ml,29,80,88,whiskybike,0,$10.99
7985,Jack Daniel's Single Barrel Select,-,45.0,700 ml,13,77.91,77,whiskybike,0,$10.99
8002,Jack Daniel's Old No. 7,-,40.0,700 ml,784,65.69,67,whiskybike,0,$10.99
8186,Wild Turkey Father and Son Limited Edition,13,43.0,1000 ml,12,88.9,87,morbus-malt,0,$10.99
8208,Booker's 06 + 6 months + 19 days Beaten Bisquits,6,63.05,750 ml,6,89,87,morbus-malt,0,$10.99
8560,Jack Daniel's Old No. 7,-,40.0,700 ml,784,65.69,78,morbus-malt,0,$10.99
8911,Jack Daniel's Master Distiller Series No. 1 - Jack Daniel's (1866 - 1911),-,43.0,700 ml,29,80,69,ruedi,0,$10.99
8913,Maker's 46 Red Wax,-,47.0,700 ml,6,83,68,ruedi,0,$10.99
8915,Maker's 46 Red Wax,-,47.0,700 ml,106,81.38,68,ruedi,0,$10.99
8921,Jack Daniel's Old No. 7,-,40.0,700 ml,784,65.69,65,ruedi,0,$10.99
9118,Wild Turkey Rare Breed Barrel Proof,-,56.4,700 ml,109,83.7,72,beerwin,0,$62.99
9122,Jim Beam Signature Craft Small Batch - Kentucky Straight Bourbon Whiskey,12,43.0,700 ml,34,85.22,55,beerwin,0,$10.99
9123,Jim Beam Devil's Cut 90 Proof,-,45.0,700 ml,71,75.43,46,beerwin,0,$10.99
11394,Booker's Rye 13 + 1 month + 12 days Big Time Batch,13,68.1,750 ml,39,91.23,91,addyhd,0,$10.99
13379,Jim Beam Regal China Decanter 150 Months Old,-,40.0,750 ml,15,83.92,87,addyhd,0,$10.99
13742,Jack Daniel's Single Barrel Rye,-,45.0,700 ml,7,85.2,86,addyhd,0,$10.99
14303,Jim Beam Signature Craft Small Batch Bourbon,12,43.0,700 ml,57,78.25,82,addyhd,0,$10.99
14360,Wild Turkey Rare Breed Barrel Proof 116.8,-,58.4,700 ml,27,84.46,82,addyhd,0,$10.99
14423,Jim Beam Black - Aged to Perfection,-,43.0,700 ml,30,74.64,81,addyhd,0,$10.99
14563,Jim Beam Devil's Cut 90 Proof,-,45.0,700 ml,71,75.43,73,addyhd,0,$10.99
15236,Jack Daniel's Unaged - Tennessee Rye,-,40.0,750 ml,5,78.33,80,sprita,0,$10.99
15715,Booker's 06 + 3 months,6,62.95,700 ml,63,86.77,88,ardspring,0,$10.99
15818,Wild Turkey Rare Breed Barrel Proof,-,58.4,700 ml,94,84.58,86,ardspring,0,$62.99
16036,Booker's 06 + 1 month 127.7 Proof,6,63.85,700 ml,30,86.64,87,arobot,0,$10.99
16048,Booker's 06 + 3 months,6,62.95,700 ml,63,86.77,86,arobot,0,$10.99
16052,Booker's 06 + 3 months 127.4 Proof,6,63.7,750 ml,17,87.07,86,arobot,0,$10.99
16054,Jack Daniel's Single Barrel Barrel Proof,-,64.5,700 ml,13,86.36,86,arobot,0,$10.99
16110,Wild Turkey Rare Breed Barrel Proof,-,58.4,700 ml,94,84.58,85,arobot,0,$62.99
17159,Booker's 06 + 3 months,6,62.95,700 ml,63,86.77,90,oliverd,0,$10.99
17190,Glenrothes Whisky Maker's Cut The Soleo Collection,-,48.8,700 ml,231,84.71,88,oliverd,0,$10.99
17208,Wild Turkey Rare Breed Barrel Proof,-,58.4,700 ml,94,84.58,87,oliverd,0,$62.99
17370,Wild Turkey 101 Kentucky Straight Bourbon Whiskey,-,50.5,700 ml,66,82.17,82,oliverd,0,$3.78
17719,Jack Daniel's Monogram Second Edition,-,47.0,750 ml,11,82.78,83,willems011,0,$10.99
17722,Jack Daniel's Single Barrel Heritage Barrel,-,50.0,750 ml,5,88,82,willems011,0,$10.99
17723,Jack Daniel's Single Barrel Barrel Proof,-,64.5,700 ml,13,86.36,82,willems011,0,$10.99
17724,Jack Daniel's Bicentennial 1796-1996,-,45.0,700 ml,5,85,82,willems011,0,$10.99
17725,Jack Daniel's Single Barrel Barrel Proof,-,66.1,750 ml,12,81.9,82,willems011,0,$10.99
17727,Jack Daniel's Holiday Select 2014 Small Batch,-,48.0,700 ml,4,82.75,81,willems011,0,$10.99
17728,Jack Daniel's Silver Select,-,50.0,700 ml,28,82.19,81,willems011,0,$10.99
17730,Jack Daniel's Rested - Tennessee Rye,-,40.0,750 ml,5,83,80,willems011,0,$10.99
17731,Jack Daniel's Single Barrel Select,-,45.0,700 ml,4,84.75,80,willems011,0,$10.99
17734,Jack Daniel's No. 27 Gold Double Barreled,-,40.0,700 ml,46,79.23,79,willems011,0,$10.99
17736,Jack Daniel's Old No. 7,-,40.0,3000 ml,12,39.6,78,willems011,0,$10.99
17737,Jack Daniel's Old No. 7 - Maxwell House,-,43.0,1500 ml,4,82.25,78,willems011,0,$10.99
17740,Jack Daniel's 125th Anniversary,-,43.0,1000 ml,6,75.25,77,willems011,0,$10.99
17741,Jack Daniel's 150th Anniversary of the Jack Daniel's Distillery,-,43.0,700 ml,15,79.23,76,willems011,0,$10.99
17742,Jack Daniel's No. 7 Old Time Distillery 1895 Replica,-,43.0,1000 ml,5,88.67,76,willems011,0,$10.99
17743,Jack Daniel's Scenes From Lynchburg No 12 - Fire Brigade,-,43.0,1000 ml,8,78.17,76,willems011,0,$10.99
17746,Jack Daniel's Old No. 7 Legacy Edition No. 1,-,43.0,700 ml,23,77.76,75,willems011,0,$10.99
17747,Jack Daniel's Birthday Edition Mr. Daniel's 161st birthday,-,40.0,700 ml,10,78.63,75,willems011,0,$10.99
17749,Jack Daniel's Single Barrel - 100 Proof,-,50.0,700 ml,5,76.33,74,willems011,0,$10.99
17750,Jack Daniel's Master Distiller Series No. 6,-,43.0,1000 ml,10,79.71,74,willems011,0,$10.99
17751,Jack Daniel's The White Rabbit Saloon Special Edition,-,43.0,700 ml,56,73.43,73,willems011,0,$10.99
17752,Jack Daniel's Gentleman Jack,-,40.0,700 ml,341,72.37,73,willems011,0,$10.99
17753,Jack Daniel's Single Barrel,-,45.0,700 ml,2,73.5,73,willems011,0,$10.99
17754,Jack Daniel's 1954 Gold Medal Series,-,43.0,1000 ml,28,79.23,73,willems011,0,$10.99
17755,Jack Daniel's Gentleman Jack,-,40.0,750 ml,20,73.94,72,willems011,0,$10.99
17756,Jack Daniel's Old No. 7,-,43.0,1000 ml,22,65.1,71,willems011,0,$10.99
17757,Jack Daniel's Master Distiller Series No. 1 - Jack Daniel's (1866 - 1911),-,43.0,700 ml,29,80,70,willems011,0,$10.99
17758,Jack Daniel's Master Distiller Series No. 2,-,43.0,1000 ml,11,78.25,70,willems011,0,$10.99
17760,Jack Daniel's Tennessee Straight Rye,-,45.0,1000 ml,32,78.52,68,willems011,0,$10.99
17762,Jack Daniel's Tennessee Honey,-,35.0,700 ml,67,60.03,45,willems011,0,$10.99
17763,Jack Daniel's Tennessee Fire,-,35.0,1000 ml,5,71.67,39,willems011,0,$10.99
18118,Booker's Rye 13 + 1 month + 12 days Big Time Batch,13,68.1,750 ml,39,91.23,94,kapitein-kipvis,0,$10.99
18147,Jim Beam Tiffiny decanter 100 Months Old,-,43.0,757 ml,11,90.78,91,kapitein-kipvis,0,$10.99
18155,Jim Beam 15-year-old Lineage,15,55.5,700 ml,9,90.57,91,kapitein-kipvis,0,$10.99
18156,Booker's 06 + 4 months + 2 days Booker's Country Ham,6,62.35,750 ml,4,91.75,91,kapitein-kipvis,0,$10.99
18189,Jim Beam Scarlet Tanager,4,40.0,700 ml,1,90,90,kapitein-kipvis,0,$10.99
18264,Jack Daniel's Single Barrel,-,64.5,700 ml,10,87.86,89,kapitein-kipvis,0,$10.99
18266,Jim Beam The Original Emmett Kelly Decanter 100 Months Old,-,43.0,757 ml,4,87.25,89,kapitein-kipvis,0,$10.99
18285,Booker's 06 + 1 month 127.7 Proof,6,63.85,750 ml,44,86.43,88,kapitein-kipvis,0,$10.99
18293,Booker's 06 + 3 months,6,62.95,700 ml,63,86.77,88,kapitein-kipvis,0,$10.99
18302,Jim Beam Devil Dogs Decanter 100 Months Old,-,40.0,750 ml,7,87,88,kapitein-kipvis,0,$10.99
18319,Wild Turkey Rare Breed,-,58.4,700 ml,7,85.75,88,kapitein-kipvis,0,$49.99
18356,Booker's 06 + 5 months + 28 days Bluegill Creek Batch,6,64.0,750 ml,19,89.06,88,kapitein-kipvis,0,$10.99
18415,Wild Turkey Rare Breed Barrel Proof,-,54.1,700 ml,113,84.61,87,kapitein-kipvis,0,$62.99
18438,Wild Turkey Kentucky Spirit Single Barrel,-,50.5,750 ml,5,84.2,87,kapitein-kipvis,0,$10.99
18469,Wild Turkey Master’s Keep - Decades,10,52.0,750 ml,41,86.28,86,kapitein-kipvis,0,$10.99
18519,Wild Turkey 12-year-old,12,50.5,700 ml,30,85.75,86,kapitein-kipvis,0,$10.99
18522,Jack Daniel's Single Barrel Rye,-,45.0,700 ml,7,85.2,86,kapitein-kipvis,0,$10.99
18541,Wild Turkey Rare Breed Barrel Proof,-,56.4,700 ml,109,83.7,85,kapitein-kipvis,0,$62.99
18542,Jim Beam Distiller's Cut,-,50.0,750 ml,11,83.44,85,kapitein-kipvis,0,$10.99
18644,Jim Beam Black Extra Aged,-,43.0,700 ml,25,78,83,kapitein-kipvis,0,$22.99
18671,Jim Beam Signature Craft Small Batch Bourbon,12,43.0,700 ml,57,78.25,81,kapitein-kipvis,0,$10.99
18886,Wild Turkey Kentucky Spirit Single Barrel,-,50.5,750 ml,16,86.85,86,fudschafudscha,0,$10.99
