,text,label
0,"<article class=""NewsEndMain_comp_news_article__wMpnW _article_body"" id=""comp_news_article""><div class=""_article_content""><span class=""end_photo_org""><span class=""NewsEndMain_article_image__SwnGO""><span class=""NewsEndMain_image_wrap__djL-o""><img alt="""" src=""https://imgnews.pstatic.net/image/438/2024/09/04/0000067180_001_20240904235708436.png?type=w647""/></span></span><em class=""img_desc"">완벽한 가족 캡처</em></span>",1
1,"<div class=""vod_area vod_area_tvcast""><iframe allow=""autoplay"" allowfullscreen="""" frameborder=""no"" height=""306"" marginheight=""0"" marginwidth=""0"" scrolling=""no"" src=""https://tv.naver.com/embed/60430334"" width=""544""></iframe></div>",1
2,지현우가 실종된 이수연으로 의심되는 이의 칼에 찔려 혼수상태에 빠졌다.,1
3,"최선희(박주현)가 교통사고를 당하던 날, 지현우(이시우)는 다급하게 도망치는 행인을 목격했고 그가 선희를 차로로 밀친 범인이자 실종된 이수연(최예빈)이라 확신했다.",1
4,현우는 수연의 휴대폰에 선희의 교통사고가 벌어진 곳에서 만나자는 메시지를 남겼다. 수연을 기다리던 현우는 형사 이성우(김명수)의 등장에 놀란다. 성우는 “경찰 우습게 보지 마.”라며 현우가 남긴 메시지를 추적한 사실을 알렸다.,1
5,성우는 “네가 본 건 수연이가 아닐 거야.”라며 수연의 혈흔이 발견된 사실과 용의자가 체포돼 취조를 받고 있다는 상황을 알렸다. 이어 성우는 “곧 수연이도 발견될 거야.”라며 수연이 이미 사망했다고 추측했다.,1
6,성우와 헤어진 현우는 선희를 밀친 이와 같은 옷을 입은 괴한의 칼에 찔려 쓰러진다. 사람들의 비명 소리에 현우의 부상을 알아챈 성우는 급히 최진혁(김병철)을 취조 중이던 신동호(김도현)에 연락했고 이수연이 살아있다는 소식을 전했다.,1
7,"집에 홀로 남아 있던 선희 앞에 수연이 나타났다. 수연은 선희를 결박했고 칼로 위협하며. ""왜 나까지 죽이려고 했어?”를 따져 물었다. 선희는 “내가 너를 죽일 리가 없잖아. 도대체 무슨 일이 있었던 거야?”를 되물으며 연락 두절됐던 수연의 사연을 궁금해했다.",1
8,"KBS 2TV 수목드라마 ‘완벽한 가족’(연출 유키사다 이사오, 제작 빅토리콘텐츠)은 누가 봐도 행복하고 완벽해 보이는 가족이 딸의 살인으로 인해 점점 서로를 의심하게 되는 미스터리 스릴러 드라마다. 독창적인 소재와 박진감 넘치는 전개로 안방극장에 역대급 반전과 재미를 선사한다.",1
9,"<article class=""NewsEndMain_comp_news_article__wMpnW _article_body"" id=""comp_news_article""><div class=""_article_content""><span class=""end_photo_org""><span class=""NewsEndMain_article_image__SwnGO""><span class=""NewsEndMain_image_wrap__djL-o""><img alt="""" src=""https://imgnews.pstatic.net/image/438/2024/09/04/0000067179_001_20240904232214320.png?type=w647""/></span></span><em class=""img_desc"">완벽한 가족 캡처</em></span>",1
10,"<div class=""vod_area vod_area_tvcast""><iframe allow=""autoplay"" allowfullscreen="""" frameborder=""no"" height=""306"" marginheight=""0"" marginwidth=""0"" scrolling=""no"" src=""https://tv.naver.com/embed/60430024"" width=""544""></iframe></div>",1
11,형사 신동호(김도현)는 긴급 체포된 최진혁(김병철)에게 “이제 그만 솔직하게 말씀하시죠? 이수연 어디 있습니까?”를 단도직입적으로 물었다. 진혁은 박경호(김영대) 화재 사건 다음 날 차를 도난당했다고 주장했다. 이에 동호는 차를 도난당했음에도 신고 이력이 남아 있지 않는 점을 지적했다.,1
12,진혁은 도난 신고 전 지구대의 연락을 받아 차를 돌려받았다고 진술했다. 동호는 “도난이 아니라 누군가에게 빌려준 건 아닙니까? 그리고 그 사람의 정체를 밝힐 수 없는 거겠죠.”라는 그럴듯한 추측을 던지며 진혁의 반응을 살폈다.,1
13,침착함을 유지하던 진혁은 “제가 죽였다는 확실한 증거 있습니까?”를 되물으며 반격에 나섰다. 이어 이수연(최예빈)의 시신이 발견되지 않았음에도 살해 혐의를 추궁하는 경찰 측의 섣부른 행동에 책임을 물었다.,1
14,"동호의 반응을 통해 상황을 파악한 진혁은 감췄던 발톱을 드러냈고 차에서 발견된 수연의 혈흔은 경찰의 증거 조작이라 몰아붙였다. 이때, 외근 중이던 형사 이성우(김명수)를 통해 긴급한 상황이 전해졌고 진혁의 취조는 중단됐다.",1
15,"최선희(박주현)가 교통사고를 당하던 날, 지현우(이시우)는 다급하게 도망치는 행인을 목격했고 그가 선희를 차로로 밀친 범인이자 실종된 수연이라 확신했다.",1
16,현우는 수연의 휴대폰에 선희의 교통사고가 벌어진 곳에서 만나자는 메시지를 남겼다. 수연을 기다리던 현우는 형사 이성우의 등장에 놀란다. 성우는 “경찰 우습게 보지 마.”라며 현우가 남긴 메시지를 추적한 사실을 알렸다.,1
17,"KBS 2TV 수목드라마 ‘완벽한 가족’(연출 유키사다 이사오, 제작 빅토리콘텐츠)은 누가 봐도 행복하고 완벽해 보이는 가족이 딸의 살인으로 인해 점점 서로를 의심하게 되는 미스터리 스릴러 드라마다. 독창적인 소재와 박진감 넘치는 전개로 안방극장에 역대급 반전과 재미를 선사한다.",1
18,"<article class=""NewsEndMain_comp_news_article__wMpnW _article_body"" id=""comp_news_article""><div class=""_article_content""><span class=""end_photo_org""><span class=""NewsEndMain_article_image__SwnGO""><span class=""NewsEndMain_image_wrap__djL-o""><img alt="""" src=""https://imgnews.pstatic.net/image/438/2024/09/04/0000067178_001_20240904232010099.png?type=w647""/></span></span><em class=""img_desc"">완벽한 가족 캡처</em></span>",1
19,"<div class=""vod_area vod_area_tvcast""><iframe allow=""autoplay"" allowfullscreen="""" frameborder=""no"" height=""306"" marginheight=""0"" marginwidth=""0"" scrolling=""no"" src=""https://tv.naver.com/embed/60429662"" width=""544""></iframe></div>",1
20,이수연 살해 혐의로 긴급 체포된 최진혁이 신동호의 압박 취조에도 흔들림 없는 태도를 유지했다.,1
21,실종된 이수연(최예빈)의 가발과 소지품이 강가에서 떠올랐다. 평소 최진혁(김병철)을 의심해 왔던 형사 신동호(김도현)는 진혁의 차에서 혈흔을 채취해 국과수에 넘겼고 수연의 DNA와 일치한다는 통보를 받았다.,1
22,"경찰은 신속하게 출동해 진혁을 수연 납치, 살해 혐의로 긴급 체포했다. 경찰서는 동호의 업적을 칭찬했고 남은 건 자백을 받아내는 것뿐이라며 동호를 취조실로 밀어 넣었다.",1
23,남들이 전부 아니라고 할 때 욕을 먹으면서까지 진혁의 뒤를 조사했던 동호는 갑자기 뒤바뀐 경찰서 분위기에서 묘한 위화감과 찜찜함을 느꼈다.,1
24,취조실에 들어선 동호는 “이제 그만 솔직하게 말씀하시죠? 이수연 어디 있습니까?”를 단도직입적으로 물었다. 진혁은 박경호(김영대) 화재 사건 다음 날 차를 도난당했다고 주장했다. 이에 동호는 차를 도난당했음에도 신고 이력이 남아 있지 않는 점을 지적했다.,1
