습도,강수량,기온,풍속,한식,글로벌,패스트푸드
71.06666666666666,0.0,0.23999999999999996,0.8666666666666666,653,242,728
82.875,0.0,-1.0625,0.6937500000000001,425,162,435
67.0,0.0,-1.775,0.6875,526,203,702
66.375,0.0,-1.10625,0.89375,617,238,768
57.8125,0.0,0.73125,0.8,648,241,758
89.8125,16.5,4.71875,1.2312500000000002,924,336,1028
93.625,24.0,5.24375,2.2,499,191,647
76.5,0.0,0.2250000000000001,2.43125,454,195,535
80.3125,0.0,-2.20625,1.3875000000000002,462,140,559
78.875,0.0,-1.81875,0.7375,539,226,705
71.1875,0.0,-0.8999999999999999,1.75,664,247,821
75.5625,0.0,-2.1750000000000003,1.4500000000000002,704,233,777
62.75,0.0,-3.8937500000000003,1.10625,383,181,545
65.625,0.0,-3.8,1.05625,480,172,507
59.375,0.0,-3.5625,0.93125,442,192,582
64.625,0.0,-2.625,1.0,445,170,539
66.9375,0.0,-2.1875,0.76875,527,178,697
66.5,0.0,-0.35624999999999996,0.5812499999999999,612,268,744
75.5625,0.0,0.41874999999999996,1.18125,627,262,764
55.05882352941177,0.0,-1.9823529411764707,1.7294117647058822,412,170,509
47.875,0.0,0.09375,0.84375,490,140,541
54.4375,0.0,1.6875,1.0125000000000002,454,200,575
75.375,0.0,2.2875,1.70625,486,188,604
76.26666666666667,0.0,0.9,1.1466666666666667,452,139,523
86.53846153846153,0.0,0.5076923076923078,0.8769230769230769,80,24,78
44.0,0.0,6.576923076923077,2.4461538461538463,533,240,707
61.785714285714285,0.0,5.664285714285714,2.0714285714285716,582,229,780
61.1875,0.0,4.4,1.09375,488,160,500
64.375,0.0,3.025,0.96875,434,193,540
70.125,0.0,3.2437500000000004,0.75625,498,147,494
83.5625,0.0,1.1,0.73125,591,210,795
82.8125,0.0,0.85625,1.275,671,232,835
54.0,0.0,1.0875000000000001,1.9874999999999998,674,239,831
52.625,0.0,-2.3875,1.53125,473,176,530
47.25,0.0,-5.2375,1.9562499999999998,543,165,603
44.375,0.0,-9.2125,2.11875,554,180,624
44.5625,0.0,-5.11875,0.9374999999999999,538,172,613
62.0625,0.0,-0.13749999999999998,2.13125,571,242,763
61.0625,0.0,-2.40625,1.6,663,288,904
70.47058823529412,0.0,0.6529411764705884,0.8705882352941176,641,285,847
61.375,0.0,0.86875,0.65625,441,208,589
55.1875,0.0,6.25625,0.8687500000000001,447,177,575
93.625,2.0,6.25625,1.06875,499,225,671
91.4375,0.0,5.525,1.26875,463,196,611
85.5625,0.0,5.86875,0.8687499999999999,514,214,710
86.4375,11.0,4.3687499999999995,2.1500000000000004,596,285,783
73.3125,0.5,-3.65,2.525,712,301,862
63.642857142857146,0.0,-5.757142857142858,2.2142857142857144,442,193,514
68.3125,0.0,-2.65,1.04375,536,168,508
79.0625,0.0,0.59375,0.8875,457,173,587
83.0,0.0,2.58125,0.7,527,176,527
83.375,9.5,6.19375,1.875,624,237,740
70.0625,0.0,0.86875,1.90625,764,281,881
62.9375,0.0,3.61875,1.40625,741,291,844
77.5,9.0,7.16875,1.10625,472,242,529
78.9375,4.5,4.75625,1.3375,572,223,653
81.875,0.0,4.39375,1.3375,596,213,634
50.9375,0.0,5.2,0.88125,539,240,713
88.875,1.0,4.5875,1.2875,627,272,903
83.75,0.0,4.475,0.8875,698,342,778
77.8125,0.0,3.65625,2.05,646,290,936
70.47058823529412,0.0,2.0470588235294116,1.4058823529411766,472,210,562
67.9375,0.0,4.5,1.51875,532,186,611
59.4375,0.0,0.19999999999999993,2.91875,453,265,619
72.375,0.0,0.15624999999999997,0.9375,524,220,668
58.1875,0.0,2.5687499999999996,0.7749999999999999,583,257,766
69.4375,0.0,3.75,0.5875,639,258,842
57.1875,0.0,5.762499999999999,0.63125,557,254,846
63.875,4.0,9.493750000000002,1.725,393,234,558
61.9375,2.5,3.66875,2.73125,556,208,642
64.0,0.0,3.7625,1.54375,533,221,619
58.9375,0.0,6.78125,2.41875,498,196,648
48.5625,0.0,1.0625,1.9125,597,273,770
75.6875,0.0,4.425,1.74375,652,314,809
53.3125,0.0,1.78125,2.43125,709,291,855
65.5,0.0,4.55625,1.96875,435,242,571
84.6875,0.0,5.300000000000001,1.2000000000000002,460,214,587
48.4375,0.0,11.24375,2.83125,486,217,583
57.6875,0.0,6.5375,2.45,522,253,650
49.1875,0.0,9.55625,1.8875,537,283,752
78.5625,0.0,9.825,1.875,655,305,717
44.75,0.0,8.23125,1.50625,586,275,746
67.6875,0.0,7.737500000000001,0.7,401,232,490
48.9375,0.0,8.2375,0.73125,505,215,588
52.8125,0.0,10.65625,0.95,488,252,598
82.875,2.5,13.64375,1.8875,515,209,622
30.0,0.0,7.6375,3.45,561,299,684
39.529411764705884,0.0,5.217647058823529,1.8176470588235296,769,320,746
59.1875,0.0,6.762499999999999,0.9312499999999999,738,283,694
58.3125,0.0,7.0625,0.89375,500,239,483
43.375,0.0,11.33125,1.5375,586,232,532
65.9375,0.0,7.04375,1.4625,639,231,597
68.9375,0.0,7.60625,1.13125,571,226,529
72.5,0.0,8.993749999999999,1.9125,691,259,734
26.9375,0.0,6.18125,2.84375,778,346,805
57.3125,0.0,5.84375,0.875,809,265,800
68.4375,0.0,8.8,1.40625,555,240,584
56.75,0.0,8.53125,1.975,511,209,620
43.0,0.0,8.024999999999999,2.09375,605,199,573
62.625,0.0,8.337499999999999,1.6875,583,219,553
73.0,0.0,8.88125,1.53125,674,305,672
73.46666666666667,0.0,7.4333333333333345,1.2666666666666666,685,317,744
56.4375,0.0,8.46875,2.3625,708,260,775
61.0625,0.0,9.79375,1.1625,451,238,569
49.125,0.0,9.95,0.98125,594,267,778
47.3125,0.0,11.2,1.08125,729,312,748
54.1875,1.0,14.462499999999999,1.9875,481,205,534
90.9375,0.0,10.99375,2.1875,659,323,734
73.0,0.0,12.911764705882353,1.552941176470588,650,303,722
84.375,1.5,11.0625,1.44375,736,288,876
70.4375,0.0,9.05,2.2375000000000003,495,234,498
40.125,0.0,6.6125,2.85625,578,213,733
60.1875,0.0,6.30625,2.60625,544,284,624
59.1875,0.0,7.44375,2.09375,558,245,610
52.5625,0.0,11.581249999999999,2.75,622,321,797
67.25,0.0,10.5625,1.8687500000000001,739,329,867
63.125,0.0,11.2875,1.5312500000000002,669,289,779
63.125,0.0,10.5625,1.3562500000000002,479,259,592
72.4375,0.0,12.7625,1.9000000000000001,581,215,557
51.875,0.0,12.925,1.09375,578,280,561
73.0625,0.0,18.175,1.84375,700,309,687
3.25,0.0,18.8375,1.7062499999999998,580,302,671
-1.0,0.0,18.8125,0.825,605,335,696
-1.0,0.0,20.44375,1.3125,653,289,744
-1.0,0.0,15.524999999999999,1.225,553,273,611
-1.0,0.0,13.6875,0.75,708,290,782
37.9375,0.0,18.56875,1.6687500000000002,479,224,475
31.375,0.0,20.23125,1.7875,523,233,545
85.4375,16.0,15.7,2.0187500000000003,745,318,783
99.8125,8.0,13.7125,1.8,825,355,931
91.4375,0.0,14.13125,1.4875,803,328,800
-1.0,3.5,13.837499999999999,1.7687499999999998,506,269,607
71.5,0.0,13.225000000000001,1.69375,568,300,698
52.0,0.0,16.44375,1.425,610,270,595
52.470588235294116,4.0,19.8,1.3882352941176472,566,297,598
93.5625,4.5,15.575,1.40625,801,371,830
93.5625,0.0,15.943749999999998,1.35,751,406,815
92.3125,0.0,18.356249999999996,1.05625,751,348,764
74.375,7.0,11.9125,2.08125,625,284,669
