습도,강수량,기온,풍속,한식,글로벌,패스트푸드
56,0,0.6,2.0,3,0,2
70,0,4.6,1.2,3,0,3
37,0,4.7,1.3,3,1,3
73,0,-0.3,0.1,7,1,7
73,0,-0.3,0.5,1,1,11
76,0,-0.4,0.7,2,1,22
76,0,-0.5,0.9,4,2,18
75,0,-0.6,1.0,4,1,22
74,0,-0.6,0.5,6,0,33
74,0,-0.6,0.2,2,2,39
75,0,-0.4,0.3,2,2,18
80,0,-1.5,0.9,2,1,9
81,0,-2.0,0.3,1,1,14
84,0,-2.8,0.1,4,1,16
51,0,1.1,0.6,2,0,5
63,0,-1.7,0.1,4,0,27
67,0,-2.3,0.2,4,1,28
70,0,-2.7,0.7,1,2,33
51,0,1.3,0.3,1,2,15
53,0,1.1,1.5,4,2,27
55,0,1.1,1.2,3,0,33
55,0,1.1,1.1,3,1,27
52,0,1.9,1.1,1,0,37
100,2,3.7,1.7,2,2,14
100,2,4.3,1.2,2,2,40
97,1,3.1,3.1,4,0,12
96,1,2.4,2.3,5,1,8
96,0,1.8,2.3,7,1,16
96,0,1.3,2.2,2,0,28
96,0,1.8,1.3,0,1,14
72,0,-1.0,1.1,3,1,5
77,0,-1.6,1.9,2,1,7
78,0,-2.0,1.0,2,2,17
79,0,-2.6,1.4,3,2,13
86,0,-3.7,0.7,2,1,16
83,0,-1.8,0.0,4,1,25
85,0,-1.7,0.0,6,2,24
66,0,-1.1,0.9,2,0,13
69,0,-1.6,1.3,2,0,12
73,0,-2.1,1.2,3,1,18
75,0,-2.2,1.0,4,0,19
76,0,-2.6,0.9,4,1,20
72,0,-3.0,1.5,8,1,28
76,0,-3.4,0.3,1,1,36
73,0,-3.1,0.5,2,0,27
71,0,-1.8,1.8,3,2,7
73,0,-2.0,1.3,4,0,15
71,0,-2.7,1.5,2,2,22
69,0,-3.5,0.7,3,1,20
74,0,-4.2,0.1,5,0,24
73,0,-4.0,1.1,5,1,36
67,0,-3.4,1.1,2,1,40
68,0,-3.7,1.8,2,0,28
65,0,-5.2,0.8,2,1,10
70,0,-5.7,0.8,4,0,14
62,0,-4.9,0.5,3,2,21
61,0,-4.8,0.4,3,0,20
64,0,-5.0,0.6,3,0,12
67,0,-3.1,0.7,5,0,8
66,0,-3.6,0.7,1,1,20
63,0,-3.8,0.7,2,0,16
61,0,-3.8,1.1,2,0,7
57,0,-0.5,0.7,3,1,9
69,0,-2.7,0.7,2,2,16
67,0,-2.9,0.2,4,2,37
69,0,-3.3,0.7,2,0,35
70,0,0.0,1.3,3,1,14
72,0,-0.2,1.1,4,1,23
72,0,0.2,0.7,4,1,25
73,0,0.0,0.7,3,0,29
76,0,0.3,1.4,5,0,24
66,0,1.6,0.9,3,1,6
70,0,0.8,1.3,2,1,14
66,0,0.2,0.8,1,2,8
61,0,0.5,0.5,3,1,20
61,0,0.4,0.4,4,3,24
59,0,0.4,0.8,4,0,19
61,0,0.4,1.3,1,2,40
66,0,-0.3,0.5,1,1,16
52,0,-3.6,0.9,1,1,7
56,0,-3.9,0.9,3,0,8
46,0,0.6,0.9,4,1,8
44,0,0.4,1.3,8,0,12
56,0,1.3,0.8,4,0,16
61,0,0.6,0.7,2,0,17
67,0,-0.1,0.4,3,0,19
84,0,0.6,1.2,1,1,24
88,0,-0.3,1.2,2,1,13
82,0,1.0,0.6,3,0,12
83,0,-0.4,0.9,6,1,14
57,0,6.5,2.6,2,2,5
58,0,5.9,1.5,2,2,4
80,0,4.0,1.1,2,1,10
78,0,4.1,0.7,1,1,18
77,0,4.3,1.0,1,2,25
73,0,4.5,1.6,3,1,27
72,0,4.7,0.9,4,1,29
65,0,3.1,1.0,1,1,6
68,0,3.0,0.6,1,2,21
58,0,3.5,0.9,3,1,6
59,0,3.1,1.3,2,2,16
60,0,2.9,0.4,2,1,11
69,0,3.1,1.1,5,0,12
69,0,3.0,0.3,1,1,15
72,0,2.4,0.4,2,1,4
