습도,강수량,기온,풍속,한식,글로벌,패스트푸드,총배달건수,ㅎㅎ
56,0,0.6,2.0,3,0,2,2000.0,1
70,0,4.6,1.2,3,0,3,1666.6666666666667,0
37,0,4.7,1.3,3,1,3,1428.5714285714284,1
73,0,-0.3,0.1,7,1,7,666.6666666666667,5
73,0,-0.3,0.5,1,1,11,769.2307692307692,0
76,0,-0.4,0.7,2,1,22,400.0,1
76,0,-0.5,0.9,4,2,18,416.66666666666663,1
75,0,-0.6,1.0,4,1,22,370.3703703703703,2
74,0,-0.6,0.5,6,0,33,256.4102564102564,0
74,0,-0.6,0.2,2,2,39,232.55813953488376,1
75,0,-0.4,0.3,2,2,18,454.5454545454545,1
80,0,-1.5,0.9,2,1,9,833.3333333333333,2
81,0,-2.0,0.3,1,1,14,625.0,1
84,0,-2.8,0.1,4,1,16,476.19047619047626,2
51,0,1.1,0.6,2,0,5,1428.5714285714284,1
63,0,-1.7,0.1,4,0,27,322.5806451612903,2
67,0,-2.3,0.2,4,1,28,303.030303030303,2
70,0,-2.7,0.7,1,2,33,277.7777777777777,0
51,0,1.3,0.3,1,2,15,555.5555555555555,1
53,0,1.1,1.5,4,2,27,303.03030303030306,1
55,0,1.1,1.2,3,0,33,277.7777777777777,1
55,0,1.1,1.1,3,1,27,322.5806451612903,2
52,0,1.9,1.1,1,0,37,263.1578947368421,0
100,2,3.7,1.7,2,2,14,555.5555555555557,0
100,2,4.3,1.2,2,2,40,227.27272727272722,0
97,1,3.1,3.1,4,0,12,625.0,2
96,1,2.4,2.3,5,1,8,714.2857142857142,0
96,0,1.8,2.3,7,1,16,416.66666666666663,4
96,0,1.3,2.2,2,0,28,333.33333333333337,1
96,0,1.8,1.3,0,1,14,666.6666666666667,0
72,0,-1.0,1.1,3,1,5,1111.111111111111,2
77,0,-1.6,1.9,2,1,7,1000.0,0
78,0,-2.0,1.0,2,2,17,476.1904761904762,1
79,0,-2.6,1.4,3,2,13,555.5555555555554,1
86,0,-3.7,0.7,2,1,16,526.3157894736842,1
83,0,-1.8,0.0,4,1,25,333.33333333333337,1
85,0,-1.7,0.0,6,2,24,312.5,1
66,0,-1.1,0.9,2,0,13,666.6666666666666,1
69,0,-1.6,1.3,2,0,12,714.2857142857142,1
73,0,-2.1,1.2,3,1,18,454.5454545454545,1
75,0,-2.2,1.0,4,0,19,434.78260869565213,1
76,0,-2.6,0.9,4,1,20,400.0,0
72,0,-3.0,1.5,8,1,28,270.2702702702703,3
76,0,-3.4,0.3,1,1,36,263.1578947368421,0
